Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
150,A Serisi,A 180 CDI BlueEfficiency AMG,2014 MODEL A180 AMG PANAROM?K ACILIR CAM TAVAN OTOMAT?K,2014,55,Beyaz,"21 Ocak
                        2020",?stanbul�sk�dar,145.000 TL
151,Tipo,1.4 S,Temiz Aile Arac? ?htiya�tan Hasar Kay?ts?z ve Sorunsuz Tipo,1998,187.5,Turkuaz,"21 Ocak
                        2020",?stanbulBayrampa?a,16.900 TL
152,A4,A4 Sedan 2.0 TDI,YEN? KASA 2015 DEG?SENS?Z A4 2.0 TDI L?MOUS?N,2015,203,Beyaz,"22 Ocak
                        2020",KonyaKaratay,160.000 TL
153,A6,A6 Sedan 2.0 TDI,SAH?B?NDEN 2012BAY?�IKI?LI+H�AFIZA+VAKUM+DER? ISITMA+SUNROOF+FULL,2012,190,Beyaz,"21 Ocak
                        2020",AfyonkarahisarMerkez,219.900 TL
154,Astra,1.3 CDTI Essentia Konfor,Orijinal De?i?ensiz,2011,146,Gri,"22 Ocak
                        2020",Kastamonu?nebolu,73.000 TL
155,i30,1.6 CRDi Elite,Hatas?z boyas?z ilk sahibinden 92 binde,2012,92,Beyaz,"20 Ocak
                        2020",Isparta?arkikaraa?a�,102.250 TL
156,i20,1.2 D-CVVT Jump,ARACIM KUTLU BEYE OPS?YONLANMI?TIR,2012,127.5,Gri,"21 Ocak
                        2020",?stanbulSar?yer,49.750 TL
157,626,2,Mazda 626 2.0 otomatik,1998,235,G�m�? Gri,"03 Ekim
                        2019",K?rklareliMerkez,28.750 TL
158,C Serisi,C 200 D AMG,2018 MODEL AMG C200d HATASIZ BOYASIZ TRAMERS?Z,2018,76.5,Gri,"16 Ocak
                        2020",SakaryaErenler,345.000 TL
159,Grand C-Max,1.6 TDCI  Titanium,RENAULT YETK?L? SATICISI GRAND C-MAX,2012,178.385,Kahverengi,"21 Ocak
                        2020",Manisa?ehzadeler,78.900 TL
160,A6,A6 Sedan 2.0 TDI,GMC MOTORS AUD? A6 2.0 TDI MULT?TRON?C L?MOUS?NE,2013,165,Siyah,"21 Ocak
                        2020",?stanbulEsenyurt,240.000 TL
161,Corsa,1.4 Cosmo,2011 MODEL TAM OTOMAT?K MAKYAJLI KASA OPEL CORSA,2011,146,Kahverengi,"21 Ocak
                        2020",�orumMerkez,67.850 TL
162,Civic,1.6 i ES,DE???ENS?Z SANRUFLU 1.6 Euro civic,1998,265,G�m�? Gri,"21 Ocak
                        2020",AnkaraSincan,26.500 TL
163,Cerato,1.5 CRDi EX,?stanbul pendik,2006,164,Turkuaz,"12 Ocak
                        2020",?stanbulPendik,49.250 TL
164,3,1.5 SkyActive-D Power,YILOTO'DAN 2016 1.5 D POWER OTOMAT?K MAZDA 3 BEYAZ DER? D�?EME,2016,99,Bordo,"21 Ocak
                        2020",ErzurumYakutiye,139.900 TL
165,Albea,Sole 1.3 Multijet Dynamic Plus,BU ?LANA MUTLAKA BAK D�?�K KM VE FUL BAKIMLI,2012,465,Gri,"22 Ocak
                        2020",?stanbulBe?ikta?,27.500 TL
166,S Serisi,S 400 400 L,UNIVERSAL AUTO - MERCEDES S400 - MAYBACH - DESIGNO - TAM DOLU,2018,0,Siyah,"22 Ocak
                        2020",?stanbulBe?ikta?,1.940.000 TL
167,C3,1.4 HDi SX,2004 MODEL ABS'L? �?FT A?RBAG DJ?TAL KL?MA FUL PAKET D?ZEL C3-SX,2004,228,G�m�? Gri,"22 Ocak
                        2020",AntalyaKonyaalt?,34.400 TL
168,323,1.6 GLX,1993MODEL MAZDA 323,1993,305,Beyaz,"15 Ocak
                        2020",Ayd?nS�ke,12.000 TL
169,Linea,1.3 Multijet Pop,HEDEF OTOMOT?V'DEN 2014 HATASIZ BOYASIZ TRAMERS?Z,2014,243,Beyaz,"21 Ocak
                        2020",KonyaKaratay,52.500 TL
170,Focus,1.6 TDCi Trend X,2010 MODEL FORD FOCUS MOTOR YURUR ON NUMARA T?TANYUM �EL?KCANTL,2010,168,G�m�? Gri,"16 Ocak
                        2020",KayseriMelikgazi,62.250 TL
171,5 Serisi,525d xDrive  Premium,HATASIZ 2013 TRAF?K �IKI?LI EMSALS?Z TEM?ZL?KDE,2012,235,Beyaz,"21 Ocak
                        2020",AnkaraG�lba??,217.000 TL
172,Egea,1.3 Multijet Easy Plus,AUTOSELL 2018 EGEA EASY PLUS 1.3 MJET 15.000KM HATASIZ ORJ?NAL,2018,15,Beyaz,"22 Ocak
                        2020",?stanbulAta?ehir,109.000 TL
173,5 Serisi,520d Comfort,____ 185.000 KM ____ 2011 BMW 5.20d ____ M/Sport____,2011,185,Beyaz,"20 Ocak
                        2020",KastamonuMerkez,185.000 TL
174,1 Serisi,116d Joy Plus,38 B?N KM DE HATASIZ KUYUMCUDAN AC?LL SATILIK,2016,38,Siyah,"22 Ocak
                        2020",?stanbulSultangazi,183.750 TL
175,626,2,Acil sat?l?k,1994,430,Lacivert,"03 Ocak
                        2020",AnkaraMamak,16.000 TL
176,i20,1.4 CRDi Jump,2016 ? 20 1.4 CRDI JUMP HATASIZ BOYASIZ !!!,2016,121.18,Beyaz,"21 Ocak
                        2020",AnkaraAkyurt,83.950 TL
177,Premacy,1.8,2004 Mazda Premacy..�ok temiz �zel bir ara�.,2004,195,G�m�? Gri,"18 Ocak
                        2020",Bal?kesirKaresi,42.500 TL
178,5 Serisi,520i Comfort,TAMAMINA KRED? 2014 B?-XENON SUNROOF ISITMA PERDE HAFIZA M PAKET,2014,97,Beyaz,"16 Ocak
                        2020",?stanbulBa?c?lar,219.900 TL
179,Astra,1.3 CDTI Enjoy 111.Y?l,111.YIL SAH?B?NDEN OPEL,2010,129,Siyah,"22 Ocak
                        2020",?zmirKaraba?lar,72.400 TL
180,Civic,1.5 EX,Orijinal Arayanlara Honda Civic,1994,265,K?rm?z?,"21 Ocak
                        2020",?zmirBayrakl?,20.750 TL
181,5 Serisi,520d Premium,AD?LCEVAZ OTODAN 2010 MODEL 520D FULLL TERTEM?Z...!!!!,2010,330,Siyah,"20 Ocak
                        2020",?zmirBuca,115.000 TL
182,E Serisi,E 180 AMG,Delux Grup****HATASIZ/�E.BAGAJ/BURMESTE�R/KEYLESS-GO***E 180 AMG,2018,4,Beyaz,"21 Ocak
                        2020",?stanbulBeylikd�z�,460.000 TL
183,Note,1.6 Tekna,ARA� ?LK SAH?B?NDEN OTOMAT?K 1.6 BENZ?NL? HATASIZ BOYASIZ,2010,103,G�m�? Gri,"20 Ocak
                        2020",?stanbulMaltepe,76.000 TL
184,Linea,1.3 Multijet Active Plus,2013 model 95 Bg Euro 5 motor linea,2013,193,Beyaz,"22 Ocak
                        2020",?stanbulSancaktepe,41.000 TL
185,A4,A4 Sedan 1.8 TFSI,2010 AUDI A4 1.8TFSI LPG,2010,209,F�me,"20 Ocak
                        2020",?stanbulBa?c?lar,95.500 TL
186,C Serisi,C 200 d BlueTEC Comfort,JS MOTORSdan HATASIZ 55.000 KMde,2017,55,Beyaz,"18 Ocak
                        2020",?stanbulBe?ikta?,265.000 TL
187,Egea,1.3 Multijet Urban,2017 MODEL F?AT EGEA 1.3 MULT?JET 95 BEYG?R ''URBAN'' 78.000 KM,2017,78,Beyaz,"21 Ocak
                        2020",IspartaMerkez,90.000 TL
188,Linea,1.3 Multijet Active,HATASIZ 180.000 KM L?NEA,2009,180,G�m�? Gri,"21 Ocak
                        2020",Gaziantep?ehitkamil,40.000 TL
189,Ceed,1.6 CRDi Concept Plus,GARANT?L? - SERV?S BAKIMLI K?A CEED,2015,90.25,F�me,"17 Ocak
                        2020",?stanbulPendik,106.500 TL
190,5 Serisi,520i Comfort Plus,SAH?B?NDEN HATASIZ 520i,2018,33,Beyaz,"22 Ocak
                        2020",Gaziantep?slahiye,405.000 TL
191,i20,1.4 MPI Style,TERTEM?Z HYUNDA? ?20,2016,87,Beyaz,"21 Ocak
                        2020",MalatyaYe?ilyurt,98.000 TL
192,Ceed,1.6 CRDi Concept Plus,Temiz Kia Ceed,2013,127,Siyah,"20 Ocak
                        2020",?stanbulPendik,104.000 TL
193,C5,2.0 SX,CITROEN C5 SX 2.0 ? 4K,2006,109.398,Gri,"20 Ocak
                        2020",Ankara�ankaya,53.900 TL
194,Ceed,1.6 CRDi Concept Plus,__Dizel-Otomatik Vites-179.000 km__,2012,179.5,Siyah,"13 Ocak
                        2020",?stanbulBa?c?lar,80.950 TL
195,Astra,1.4 T Dynamic,OTOMAT?K 1.4 TURBO ASTRA KI? PAKETLi(43 Binde Boyas?z),2016,43,Mavi,"21 Ocak
                        2020",BursaNil�fer,132.000 TL
196,Vectra,1.6 Comfort,~ND Automobile 2004 Model 1.6 Comfort LPG,2004,225,G�m�? Gri,"22 Ocak
                        2020",?stanbulBa?c?lar,36.750 TL
197,Astra,1.6 Edition,2015 �IKI?LI ASTRA J 1.6 LPGL? 87 B?N KM TAKAS OLUR,2014,87,Gri,"21 Ocak
                        2020",?stanbulSultanbeyli,74.750 TL
198,Micra,1.2 Match,"BAREM AUTO 2014, MATCH, SEDEF BEYAZ, TAM OTOMAT?K, 50.000 KM",2014,50,Beyaz,"16 Ocak
                        2020",?stanbulBah�elievler,79.900 TL
199,A5,A5 Sportback 2.0 TDI Quattro,2014 AUD? A5 QUATTRO BEYAZ TERTEM?Z,2014,149,Beyaz,"21 Ocak
                        2020",Kocaeli�ay?rova,244.000 TL
200,Ceed,1.6 CRDi Concept Plus,''G�KBAY Auto'dan Kia CEED Concept plus camtavan 94bin km'de'',2016,94,Siyah,"14 Ocak
                        2020",?stanbulEsenler,126.950 TL
201,3 Serisi,320i ED M Plus,M 3 YAPILI 2017 �IKI?LI SUNROF ZENON DERI REKARO NBT FULL,2016,73,Siyah,"21 Ocak
                        2020",?stanbulBe?ikta?,205.000 TL
202,Rio,1.4 CRDi Fancy,"2012 K?A R?O 1.4 D?ZEL FANCY (6 ?LER?, ELEKTR?KL? KATLANIR AYNA)",2012,211,Beyaz,"14 Ocak
                        2020",KocaeliDar?ca,44.000 TL
203,Focus,1.6 TDCi Collection,hatas?z makam arac? 110 luk,2011,161,Siyah,"17 Ocak
                        2020",TokatMerkez,69.750 TL
204,A5,A5 Cabrio 1.8 TFSI,EMSALS?Z ORJ?NAL MASRAFSIZ 2010 AUD? A5 1.8 TFS? S L?NE CABR?O,2010,127,Beyaz,"22 Ocak
                        2020",AnkaraAkyurt,187.500 TL
205,C3,1.4 HDi Confort,TEMIZ C?TROEN D�?�K KM DIZEL,2011,156,Beyaz,"19 Ocak
                        2020",?stanbulEsenyurt,53.750 TL
206,C3,1.4 SX,CAMTAVAN+TRdeS?TEDE TEK+TAM OTOMAT?K+119900 KM+LPG+YEN? BAKIMLI,2005,119.9,Mavi,"22 Ocak
                        2020",Ankara�ubuk,54.950 TL
207,Vectra,1.6 Comfort,HASAR KAYITSIZ TEM?Z,2004,199.85,G�m�? Gri,"22 Ocak
                        2020",KonyaSel�uklu,45.500 TL
208,CLS,350 D AMG,2015 MODEL CLS 350 9G BAY??,2015,87,Beyaz,"20 Ocak
                        2020",RizeMerkez,580.000 TL
209,Sephia,1.5 GTX,ihtiya�tan,1993,309,Beyaz,"15 Ocak
                        2020",?zmirUrla,14.000 TL
210,Micra,1.2 Tekna,"Hasar kay?ts?z aktif kullan?lan, acil sat?l?k a�?klamay? okuyun",2003,189.65,Gri,"21 Ocak
                        2020",MersinAkdeniz,37.250 TL
211,Insignia,2.0 CDTI Cosmo,200 beygir cosmo,2012,209,Beyaz,"21 Ocak
                        2020",?stanbulTuzla,80.000 TL
212,A6,A6 Sedan 3.0 TDI Quattro,BAY? �IKI?LI HATASIZ 3.0 TD? QUATTRO,2012,106,Beyaz,"21 Ocak
                        2020",AnkaraAlt?nda?,310.000 TL
213,Maxima,3.0 QX,Daha temizi yok !!!,1996,300,Bordo,"08 Ocak
                        2020",AntalyaSerik,26.500 TL
214,Rio,1.4 WGT CRDI Cool,2018 KIA RIO 1.4 CRDI COOL,2018,25.5,Beyaz,"13 Ocak
                        2020",MalatyaYe?ilyurt,89.000 TL
215,Cerato,1.5 CRDi EX,KIA CERATO,2005,278,Mavi,"17 Ocak
                        2020",?stanbulPendik,33.750 TL
216,Astra,1.6 Edition,M�RSEL OTO EMSALS?Z OPEL ASTRA SW DE???ENS?Z EKSTRALI LPG L?,2001,195,Gri,"21 Ocak
                        2020",?zmirBuca,39.750 TL
217,3 Serisi,318i Standart,BMW 3.18i tertemiz anahtar? al git,1992,400,Siyah,"21 Ocak
                        2020",KastamonuMerkez,24.000 TL
218,80 Serisi,1.8,orjinal 1.6 dizel audi,1982,5,Ye?il,"22 Ocak
                        2020",AnkaraSincan,12.600 TL
219,Focus,1.6 TDCi Trend,2007 MODEL FORD FOCUS,2007,220,F�me,"21 Ocak
                        2020",KonyaKaratay,49.500 TL
220,Primera,1.6 Visia,SAH?B?NDEN SATILIK,2006,210,Siyah,"11 Ocak
                        2020",Tekirda?Ergene,36.000 TL
221,Egea,1.3 Multijet Easy,�ZU?UR'DAN 2016 F?AT EGEA EASY 1.3 MULT?JET 95 HP 129.000 KM,2016,129,Beyaz,"22 Ocak
                        2020",?stanbulEy�psultan,72.500 TL
222,C4,1.6 e-HDi  Exclusive,ALTAY' DAN 2015 C?TROEN C4 1.6 e-HD? EXCLUS?VE CAM TAVAN F1,2015,57,K?rm?z?,"18 Ocak
                        2020",AntalyaMuratpa?a,105.000 TL
223,C4,1.6 HDi SX,temiz aile arabas?,2006,241,Siyah,"19 Ocak
                        2020",Ayd?nNazilli,39.500 TL
224,A6,A6 Sedan 2.0 TDI,HATASIZ 2.0 TDI,2007,344,Siyah,"21 Ocak
                        2020",AnkaraSincan,89.000 TL
225,A6,A6 Sedan 2.5 TDI Quattro,EN TEM?Z?NDEN AUD? A6 2004,2004,280,G�m�? Gri,"20 Ocak
                        2020",MersinAkdeniz,50.000 TL
226,Micra,1.2 Street,Nissan micra,2016,47,Beyaz,"15 Ocak
                        2020",BursaY?ld?r?m,88.500 TL
227,C Serisi,C 180 Avantgarde,?kinci Sahibinden Aile Arac?,2014,120,Gri,"20 Ocak
                        2020",Ankara�ankaya,188.000 TL
228,A6,A6 Sedan 2.0 TDI,SAH?B?NDEN DARBES?Z BOYASIZ DE???ENS?Z A6,2013,215,Siyah,"21 Ocak
                        2020",Diyarbak?rKayap?nar,218.500 TL
229,5 Serisi,525d xDrive  M Sport,HATASIZ BOYASIZ EN FUL,2013,210,Beyaz,"21 Ocak
                        2020",MardinK?z?ltepe,254.500 TL
230,E Serisi,E 250 CGI Premium,EFE MOTORS MERCEDES-BENZ E 250CGI PREM?UM SA?-SOL HAFIZA-CAM TVN,2012,94,Siyah,"22 Ocak
                        2020",Gaziantep?ehitkamil,197.500 TL
231,i10,1.2 D-CVVT Elite,2014 i 10 TAM OTOMAT?K 1.2 EL?TE PAKET- ?�? TURUNCU MASRAFSIZ,2014,80,Gri,"20 Ocak
                        2020",?zmirBuca,76.950 TL
232,Corsa,1.3 CDTI  Cosmo,KAPLAN'DAN TRDE TEK 2005 MODEL OPEL CORSA1.3 CDT? D?ZEL,2005,278.8,Beyaz,"21 Ocak
                        2020",OsmaniyeMerkez,23.900 TL
233,Corsa,1.4 Design,2019 MODEL OPEL CORSA 1.4 DES?NG PAKET TAM OTOMAT?K TRAMERS?Z,2019,26,Beyaz,"21 Ocak
                        2020",?stanbul�mraniye,103.500 TL
234,Ka,1.3,KAPORASI ALINDI,1998,67.9,Ye?il,"22 Ocak
                        2020",?zmirBayrakl?,22.500 TL
235,Civic,1.6 LSi,S�PER TEM?Z KUPON ARA� TAKAS OLAB?L?R,1996,30,Bordo,"20 Ocak
                        2020",AnkaraYenimahalle,21.500 TL
236,A3,A3 Hatchback 2.0 FSI,B?LG?N OTOMOT?V'DEN A3 DSG+?� DI? S-L?NE+SUNROOF 150.000 KM,2005,150,K?rm?z?,"20 Ocak
                        2020",BursaOsmangazi,64.500 TL
237,Micra,1.2 Match,"9000'de ?LK SAH?B? 2018 M?CRA 1,2 MAT.?ENOL BEY'E HAYIRLI OLSUN",2017,9,Mavi,"14 Ocak
                        2020",EdirneKe?an,94.000 TL
238,C-Elys�e,1.6 HDi  Attraction,2015 MODEL CITROEN C-EL?ZE 124 B?N KMDE,2015,124,Beyaz,"20 Ocak
                        2020",MardinNusaybin,59.500 TL
239,Primera,1.8 Luxury,SAH?B?NDEN Temiz Nissan,2001,370,Beyaz,"12 Ocak
                        2020",AntalyaGazipa?a,29.750 TL
240,C Serisi,C 200 d BlueTEC AMG,DA? MOTORS C200 d bluetec amg,2016,119.75,Beyaz,"21 Ocak
                        2020",?stanbulEsenyurt,269.750 TL
241,Cerato,1.6 CRDi Concept Plus,''PALA OTO''2017 SUNROOF+B.EKRAN+K.�ISITMA+NAV?+55.000 KM,2017,55,Bordo,"20 Ocak
                        2020",?stanbulBa?c?lar,148.000 TL
242,Fiesta,1.6 TDCi  Sport,AC?LL SATILIK TEM?Z MASRAFSIZ F?ESTA,2008,330,Beyaz,"22 Ocak
                        2020",MalatyaBattalgazi,20.000 TL
243,i20,1.4 CVVT Jump,2014 model HASAR KAYITSIZ - DE???ENS?Z!?zmire opsiyonlanm??t?r,2014,112,Beyaz,"21 Ocak
                        2020",Mu?laBodrum,73.500 TL
244,Cerato,1.6 CRDi Concept Plus,***2016 BOYASIZ 43.000KM+ISITMA�+SUNROOF+KAMERA�+LED+GARANT?***,2016,43,K?rm?z?,"15 Ocak
                        2020",KocaeliGebze,131.500 TL
245,3,1.6 Impressive,ASKER? PERSONEL'DEN MAZDA 3,2013,107,K?rm?z?,"12 Ocak
                        2020",Kahramanmara?Oniki?ubat,105.000 TL
246,Focus,1.6 TDCi Ghia,HATASIZ BOYASIZ �OK TEM?Z,2008,242,Beyaz,"21 Ocak
                        2020",AntalyaManavgat,60.500 TL
247,Corsa,1.3 CDTI  Essentia,"FERME OTOMOTIV'DEN 2011 CORSA 1,3 D ESSENTIA BOYASIZ",2011,194,Beyaz,"22 Ocak
                        2020",AntalyaSerik,58.500 TL
248,5 Serisi,525d xDrive  Premium,YEN? SAH?B? MURAT KOM?SER E HAYIRLI OLSUN,2014,162.121,Beyaz,"18 Ocak
                        2020",?stanbul�sk�dar,238.750 TL
249,A4,A4 Avant 1.8 Quattro,Bayandan AC?L sat?l?k takas olur,1996,345,Siyah,"20 Ocak
                        2020",?zmirBayrakl?,28.500 TL
250,Carens,1.6 GSL,SATILIK / TAKASLIK KIA CARENS A?LE ARABASI ORJ?NAL,2010,149.8,Siyah,"19 Ocak
                        2020",?stanbulBah�elievler,52.000 TL
251,5 Serisi,525i Standart,Sahibinden kusursuz 525i,2002,245,Bej,"21 Ocak
                        2020",?stanbul�ekmek�y,74.250 TL
252,Xsara,1.6 SX,MERT KAAN DAN 2000 MODEL C?TROEN 1.6 16 VALF,2000,376,Beyaz,"20 Ocak
                        2020",YozgatSar?kaya,24.500 TL
253,Elantra,1.6 CRDi Elite Plus,Hatas?z 2017 Elentra 1.6 CRDi Elite Plus Otm. Sunroof 72 Bin Km,2017,72.522,Beyaz,"22 Ocak
                        2020",?stanbul�mraniye,142.000 TL
254,A3,A3 Sportback 1.6 TDI,"DOKTORDAN ?NANILMAZ TEM?ZL?KTE,HATASIZ ORJ?NAL 94 B?N KM DE..",2011,94,Siyah,"19 Ocak
                        2020",AntalyaMuratpa?a,104.000 TL
255,Cerato,1.6 CRDi Concept Plus,"2018 �?k??l?*40,178-km*CO�NCEPT+PLUS+SUNROOF+�K.ISITMA+NAV?GASYON+",2017,40,Beyaz,"21 Ocak
                        2020",?stanbulAta?ehir,124.950 TL
256,323,1.5 1.5i,197binde Klima+4cam otomatik+Elektrikli ayna,1999,197,Ye?il,"13 Ocak
                        2020",?stanbulB�y�k�ekmece,27.500 TL
257,Rio,1.4 CVVT Fancy,2013 MODEL K?A FANCY,2013,55.75,K?rm?z?,"20 Ocak
                        2020",SakaryaArifiye,73.750 TL
258,CLA,180 d AMG,SAFA OTOMOT?V 2015 MERCEDES CLA 180 d AMG F�ME 18 JANT ORJ?NAL,2015,115,F�me,"21 Ocak
                        2020",?stanbulSultangazi,205.900 TL
259,i30,1.6 CVVT Select,KAZASIZ - BOYASIZ - SAHIBINDEN ?30,2008,139,Siyah,"21 Ocak
                        2020",KayseriMelikgazi,61.000 TL
260,Civic,1.6i VTEC Eco Executive,Proje de?i?ikli?inden dolay? sat?l?k,2017,59,Mavi,"21 Ocak
                        2020",Mu?laSeydikemer,186.000 TL
261,Accent Blue,1.6 CRDI Mode Plus,"BOYASIZ,DE???ENS?Z, TRAMERS?Z, 2016 �IKI?LI",2015,124,Gri,"21 Ocak
                        2020",Elaz??Merkez,83.750 TL
262,E Serisi,E 220 CDI BlueEfficiency,2012 mersedes E220CD? HATAS?Z 167 B?N KM DE ?LK ELDEN koldan vit,2012,167,Siyah,"21 Ocak
                        2020",DenizliPamukkale,228.000 TL
263,C4,1.6 HDi Attraction,Temiz C4 Memurdan,2012,145.679,Beyaz,"19 Ocak
                        2020",TrabzonAk�aabat,72.500 TL
264,C4,1.6 HDi Easy,SMF GRUPTAN CITROEN C4 1.6 HDI,2014,140,G�m�? Gri,"20 Ocak
                        2020",?stanbulBa?ak?ehir,62.000 TL
265,C Serisi,C 200 d BlueTEC AMG,TEMS MOTORS 2016 C200 D AMG 69 B?NDE CAM TAVAN TRAMERS?Z,2016,69,Beyaz,"21 Ocak
                        2020",?stanbulBa?c?lar,269.500 TL
266,Micra,1.2 Passion,2011 M?CRA YEN? KASA KAYITSIZ OTOMAT?K 1.2,2011,128,Turuncu,"20 Ocak
                        2020",KocaeliGebze,65.950 TL
267,A3,A3 Sedan 1.6 TDI,2015 A3 D?ZEL OTOMATIK YETK?L? SERV?S BAKIMLI,2015,61,Siyah,"20 Ocak
                        2020",MalatyaYe?ilyurt,145.000 TL
268,C Serisi,C 200 d BlueTEC AMG,-BAYRAM AUTO-2015 C 200D AMG HATASIZ BOYASIZ 85 KM'DE ?MZALI SER,2015,85,Beyaz,"18 Ocak
                        2020",?stanbulEsenyurt,259.000 TL
269,C3,1.6 BlueHDi Feel,Memurdan Citroen 1.6 c3 Blue HDI Feel Paket,2017,83,Beyaz,"20 Ocak
                        2020",?zmirBayrakl?,98.500 TL
270,Fiesta,1.4 TDCi Comfort,temiz 2008 Ford fiesta,2008,225,G�m�? Gri,"21 Ocak
                        2020",Hatay?skenderun,33.000 TL
271,C3,1.4 SX,Bak?mlar? yap?lm?? temiz k���k aile arac?,2004,191,Gri,"22 Ocak
                        2020",Ankara�ankaya,41.000 TL
272,C-Elys�e,1.6 HDi  Exclusive,Emsalsiz temizlikte 29600 km.de,2016,29.6,Kahverengi,"21 Ocak
                        2020",?stanbulBeylikd�z�,81.250 TL
273,i20,1.4 MPI Elite,Hatas?z-Otomatik-�CamTavan-92binkm,2015,92,Kahverengi,"21 Ocak
                        2020",MersinMezitli,98.500 TL
274,E Serisi,E 200 CGI BlueEfficiency Elegance,SAH?B?NDEN SATILIK ORJ?NAL E 200,2011,177,Siyah,"21 Ocak
                        2020",Ayd?nEfeler,163.500 TL
275,C3 Picasso,1.6 HDi SX,SAH?B?NDEN �OOOOK TEM?Z CAM TAVANLI P?CASSO,2011,123.5,Beyaz,"20 Ocak
                        2020",AnkaraPursaklar,70.500 TL
276,Micra,1.5 dCi Mood,1.5 hasarsiz micra,2006,192,Mavi,"22 Ocak
                        2020",IspartaYalva�,43.000 TL
277,Sephia,1.5 GTX,Yeni muayeneli K?A SEPH?A,1999,240,Ye?il,"16 Ocak
                        2020",KocaeliGebze,20.000 TL
278,Civic,1.5i VTEC Sport Plus,Sport plus TYPER �zellikli,2018,15,K?rm?z?,"20 Ocak
                        2020",AdanaSeyhan,183.750 TL
279,5 Serisi,520d Comfort,SON MOTORS'DAN 2012 BMW 520d BAY? ((SER?VS BAKIMLI)) HATASIZ,2012,204,Beyaz,"21 Ocak
                        2020",Gaziantep?ehitkamil,198.000 TL
280,A4,A4 Sedan 1.6,"KARAKILI� OTOMOT?V 2003 MODEL AUD? A4 1.6 SEDAN LPG,L?",2003,329,Gri,"21 Ocak
                        2020",GiresunMerkez,49.900 TL
281,3 Serisi,320i,SAH?B?NDENN 2001 MODEL BMW 3.20 ?,2001,270,G�m�? Gri,"21 Ocak
                        2020",AnkaraAkyurt,56.500 TL
282,Cerato,1.5 CRDi EX,DE???ENS?Z K?A CERATO,2006,235,Gri,"15 Ocak
                        2020",AntalyaKepez,37.500 TL
283,Linea,1.3 Multijet Pop,HATASIZ BOYASIZ POP LINEA,2015,144,Beyaz,"21 Ocak
                        2020",MalatyaYe?ilyurt,59.500 TL
284,C3,1.4 HDi X Furio,TERTEM?Z DE???ENS?Z,2007,225,K?rm?z?,"21 Ocak
                        2020",?stanbulMaltepe,33.000 TL
285,Cerato,1.6 CRDi LX,***TERTEM?Z DE???ENS?Z - Cerato 1.6 DSL LX Basic,2008,194.65,Siyah,"14 Ocak
                        2020",BurdurMerkez,44.900 TL
286,Focus,1.5 TDCi Titanium,MERS?N FORD BAY? ERG?N A?-FOCUS 1.5 TDCI T?TAN?UM POWERSH?FT,2019,4.5,Beyaz,"21 Ocak
                        2020",MersinYeni?ehir,195.000 TL
287,S Serisi,S 320 320 CDI L,2009 MERECEDES S320 CDI LONG 4 MATIC // A?R+VAKUM+IS�ITMA+SOGUTMA,2009,198.5,Siyah,"21 Ocak
                        2020",?stanbulBa?c?lar,315.000 TL
288,Focus,1.5 TDCi Trend X,tertemiz s?f?r ayar?nda bir ara� fort FOCUS bilen bilir anlatma,2018,68,Beyaz,"21 Ocak
                        2020",?stanbulSancaktepe,136.500 TL
289,323,1.6 GLX,Temiz extral? mazda,1992,263,K?rm?z?,"26 Aral?k
                        2019",IspartaMerkez,22.500 TL
290,3 Serisi,320i First Edition Sport Line,0 KM BMW 3.20? SPORT L?NE BEYAZ ?�? BEJ..% 18 FATURALI..,2019,0,Beyaz,"10 Ocak
                        2020",Ayd?nDidim,367.900 TL
291,C4 Picasso,1.6 e-HDi Dynamique,HATASIZ BOYASIZ TRAMERS?Z OTOMAT?K V?TES CAM TAVAN 95000KM,2012,95,Beyaz,"20 Ocak
                        2020",KastamonuMerkez,103.000 TL
292,Fiesta,1.5 TDCi Trend X,'MTV B?ZDEN ' KRED? ?MKANI ?LE 2016 FORD F?ESTA TREND X 1.5 DC?,2016,77,Beyaz,"30 Aral?k
                        2019",?stanbulBa?c?lar,76.750 TL
293,3 Serisi,316i M Sport,46 binde boya de?i?en yoktur,2014,46,Beyaz,"22 Ocak
                        2020",?stanbulKartal,200.000 TL
294,Ceed,1.6 CRDi Concept Plus,D?ZEL CEED OTOMAT?K SANRUFLU k?sa s�reli fiyat,2012,280,Beyaz,"15 Ocak
                        2020",D�zceMerkez,60.250 TL
295,C3,1.4 HDi Attraction,SER?S?N?N EN ?Y?S?,2012,183,Beyaz,"18 Ocak
                        2020",EdirneMerkez,53.000 TL
296,Astra,1.6 Edition,ATAK OTODAN OPEL ASTRA,2015,140,F�me,"21 Ocak
                        2020",AdanaSeyhan,74.900 TL
297,3 Serisi,320i ED Standart,malatyan?n yak???kl?s?,2014,143,Beyaz,"21 Ocak
                        2020",MalatyaBattalgazi,165.000 TL
298,Cerato,1.6 CRDi Concept,2018 �IKI?LI HATASIZZZZ...,2017,13.5,Beyaz,"17 Ocak
                        2020",?stanbulSultangazi,145.000 TL
299,Linea,1.4 Fire Actual,Fiat Linea,2013,95,Beyaz,"21 Ocak
                        2020",AmasyaMerzifon,55.000 TL
